"","ID","Area","x","y","Perim.","Major","Minor","angle","Circ.","Feret","Slice","feret_x","feret_y","feret_angle","MinFeret","AR","round","solidity","germination","convex","feret_diff","debris"
"626",3934,147,1459.09,1328.07,60.04,15.19,12.32,78.01,0.51,21.38,6,1459,1337,79.22,13.82,1.23,0.81,0.71,"na",207.042253521127,7.56,"1"
"627",3965,560,452.9,1974.64,122.71,44.19,16.14,90.18,0.47,47.27,6,448,1951,96.07,20.08,2.74,0.37,0.79,"na",708.860759493671,27.19,"1"
"628",3966,165,197.47,25.05,56.18,19.22,10.93,149.52,0.66,21.63,7,188,18,146.31,13.28,1.76,0.57,0.81,"na",203.703703703704,8.35,"1"
"629",4089,378,283.5,1422.21,81.5,30.95,15.55,69.5,0.72,31.38,8,278,1437,67.52,17,1.99,0.5,0.89,"na",424.719101123596,14.38,"1"
"630",4092,191,709.96,1525.37,52.87,17.31,14.05,84.79,0.86,18.79,8,705,1518,115.2,14.79,1.23,0.81,0.92,"na",207.608695652174,4,"1"
"631",4153,356,1761.03,1105.52,92.23,35.85,12.64,130.84,0.53,37.64,9,1746,1091,129.61,15.46,2.84,0.35,0.81,"na",439.506172839506,22.18,"1"
"632",4192,348,178.22,1821.96,95.98,38.62,11.47,27.83,0.47,38.28,9,162,1829,19.86,14.76,3.37,0.3,0.76,"na",457.894736842105,23.52,"1"
"633",4195,389,471.19,1866.68,96.33,36.66,13.51,106.08,0.53,39.4,9,462,1847,113.96,16.48,2.71,0.37,0.81,"na",480.246913580247,22.92,"1"
"634",4307,147,873.38,1946.88,55.11,16.94,11.05,106.87,0.61,19.7,10,871,1937,113.96,13,1.53,0.65,0.8,"na",183.75,6.7,"1"
"635",4371,533,1866.76,1331.35,87.15,26.56,25.55,71.43,0.88,28.65,11,1860,1344,60.75,26.12,1.04,0.96,0.92,"na",579.347826086957,2.53,"1"
"636",4405,544,1578.49,58.36,117.88,40.44,17.13,3.15,0.49,43.19,12,1554,59,5.31,23.9,2.36,0.42,0.76,"na",715.789473684211,19.29,"1"
"637",4407,342,1330.61,106.37,81.5,32.01,13.6,124.27,0.65,33.02,12,1321,92,125.13,15.69,2.35,0.42,0.87,"na",393.103448275862,17.33,"1"
"638",4425,579,1349.53,612.2,154.95,43.02,17.14,21.03,0.3,52.55,12,1329,625,21.19,21.32,2.51,0.4,0.73,"na",793.150684931507,31.23,"1"
"639",4537,475,82.19,936.13,111.4,38.19,15.84,51.71,0.48,42.52,13,63,948,48.81,20.24,2.41,0.41,0.71,"na",669.014084507042,22.28,"1"
"640",4614,473,771.34,816.54,127.44,35.62,16.91,121.32,0.37,44.29,14,765,798,118.3,23.02,2.11,0.47,0.65,"na",727.692307692308,21.27,"1"
"641",4650,122,1422.85,1832.76,62.28,27.31,5.69,81.52,0.4,27.46,14,1420,1847,79.51,7.07,4.8,0.21,0.8,"na",152.5,20.39,"1"
"642",4654,158,1448.37,1877.41,82.53,34.13,5.89,91.17,0.29,36.12,14,1448,1858,94.76,8,5.79,0.17,0.71,"na",222.535211267606,28.12,"1"
"643",4703,114,419.81,1201.3,42.87,16.64,8.72,166.41,0.78,17.72,15,412,1198,163.61,10,1.91,0.52,0.87,"na",131.034482758621,7.72,"1"
"644",5150,551,1563.9,782.38,144.37,38.62,18.16,28.66,0.33,48.3,20,1541,795,27.1,26.48,2.13,0.47,0.68,"na",810.294117647059,21.82,"1"
"645",5200,278,921.75,1908.15,76.18,25.1,14.1,109.32,0.6,27.73,20,914,1896,115.64,14.79,1.78,0.56,0.87,"na",319.540229885057,12.94,"1"
"646",5202,302,246.4,1987.99,99.25,33.86,11.36,92.37,0.39,35.44,20,242,2004,73.61,13.46,2.98,0.34,0.73,"na",413.698630136986,21.98,"1"
"647",5230,462,298.84,630.94,99.15,30.25,19.45,94.92,0.59,34.21,21,296,647,74.74,22.61,1.56,0.64,0.8,"na",577.5,11.6,"1"
"648",5256,193,482.3,1019.89,116.27,45.78,5.37,37.23,0.18,47.8,21,465,1035,37.35,9.85,8.53,0.12,0.5,"na",386,37.95,"1"
"649",5268,469,861.95,1339.64,134.85,52.66,11.34,115.67,0.32,54.23,21,848,1313,112.78,15.2,4.64,0.22,0.71,"na",660.56338028169,39.03,"1"
"650",5364,399,1117.48,1376.06,121.05,36.51,13.91,20.82,0.34,44.27,22,1098,1383,18.43,17.89,2.62,0.38,0.71,"na",561.971830985916,26.38,"1"
"651",5436,570,331.51,942.41,115.54,31.61,22.96,92.13,0.54,38.48,23,325,921,114.57,27.08,1.38,0.73,0.77,"na",740.25974025974,11.4,"1"
"652",5456,391,27.26,1146.12,115.3,31.93,15.59,85.61,0.37,37.66,23,22,1161,79.29,24.07,2.05,0.49,0.63,"na",620.634920634921,13.59,"1"
"653",5748,272,940.57,1028.21,72.18,24.82,13.95,101.32,0.66,25.63,26,937,1016,110.56,15.11,1.78,0.56,0.86,"na",316.279069767442,10.52,"1"
"654",5758,458,175.7,1188.28,115.4,39.28,14.85,68.76,0.43,43.32,26,171,1212,71.15,20.96,2.65,0.38,0.72,"na",636.111111111111,22.36,"1"
"655",5918,243,1520.69,1697.31,72.43,21.07,14.68,54.61,0.58,24.76,27,1511,1703,43.36,18.24,1.44,0.7,0.78,"na",311.538461538462,6.52,"1"
"656",5950,141,1027.6,408.57,51.94,14.98,11.98,31.17,0.66,17.2,28,1018,412,35.54,14.55,1.25,0.8,0.82,"na",171.951219512195,2.65,"1"
"657",6048,427,942.17,148.14,108.95,40.75,13.34,31.35,0.45,41.4,29,929,161,37.15,19.8,3.05,0.33,0.71,"na",601.408450704225,21.6,"1"
"658",6140,591,825.37,1566.53,156.17,52,14.47,90.28,0.3,56.72,29,822,1536,99.13,20.37,3.59,0.28,0.65,"na",909.230769230769,36.35,"1"
"659",6160,300,170.08,1869.53,94.33,31.52,12.12,55.18,0.42,34.71,29,158,1880,48.5,17.47,2.6,0.38,0.68,"na",441.176470588235,17.24,"1"
