ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,spore
1172,119,42.042,15.659,9.676,0.846,16.279,10.0,1.618,0.618,0.908,1
5762,198,55.7,21.1,11.95,0.8,21.95,12.97,1.77,0.57,0.91,1
7781,211,59.11,21.81,12.32,0.76,22.83,13.27,1.77,0.56,0.9,1
943,183,51.113,18.936,12.305,0.88,19.647,13.0,1.539,0.65,0.913,1
6994,161,48.28,18.13,11.31,0.87,18.68,12.0,1.6,0.62,0.92,1
1776,154,47.213,18.181,10.785,0.868,18.385,10.983,1.686,0.593,0.936,1
5412,349,84.18,35.24,12.61,0.62,35.17,13.44,2.8,0.36,0.91,1
9031,207,56.18,20.72,12.72,0.82,22.02,13.44,1.63,0.61,0.9,1
7453,126,43.8,13.24,12.12,0.83,15.0,12.0,1.09,0.92,0.88,1
5660,122,40.04,12.82,12.12,0.96,13.93,12.0,1.06,0.94,0.93,1
147,118,40.971,12.866,11.677,0.883,14.213,11.0,1.102,0.908,0.948,1
6601,182,58.04,21.67,10.69,0.68,21.59,10.98,2.03,0.49,0.89,1
6564,191,55.94,18.96,12.83,0.77,20.0,15.04,1.48,0.68,0.89,1
6096,268,79.5,30.29,11.27,0.53,32.45,14.51,2.69,0.37,0.78,1
3462,131,46.04,14.67,11.37,0.78,16.55,12.0,1.29,0.77,0.89,1
7618,162,49.46,17.44,11.83,0.83,19.1,12.87,1.47,0.68,0.91,1
9902,101,36.97,12.07,10.65,0.93,14.21,11.0,1.13,0.88,0.93,1
1525,117,40.627,15.066,9.888,0.891,15.524,10.0,1.524,0.656,0.925,1
3236,446,145.539,44.084,12.882,0.265,52.01,23.493,3.422,0.292,0.501,1
3319,197,59.598,20.482,12.246,0.697,23.324,14.142,1.673,0.598,0.851,1
6848,284,76.18,28.96,12.49,0.61,29.43,14.31,2.32,0.43,0.87,1
5749,265,64.18,23.85,14.15,0.81,24.84,15.18,1.69,0.59,0.91,1
8884,163,52.28,19.58,10.6,0.75,20.25,11.88,1.85,0.54,0.89,1
5103,136,42.28,14.0,12.37,0.96,14.87,12.97,1.13,0.88,0.92,1
7239,187,52.87,19.88,11.98,0.84,21.1,13.1,1.66,0.6,0.92,1
9104,201,56.63,19.99,12.8,0.79,20.62,14.0,1.56,0.64,0.9,1
9945,210,57.94,21.91,12.2,0.79,23.43,13.02,1.8,0.56,0.91,1
1288,109,38.042,13.677,10.147,0.946,14.422,10.733,1.348,0.742,0.924,1
1608,104,38.627,14.424,9.18,0.876,14.866,9.7,1.571,0.636,0.9,1
104,144,46.042,16.38,11.193,0.854,17.088,12.0,1.463,0.683,0.917,1
7177,186,54.53,19.98,11.85,0.79,20.62,12.91,1.69,0.59,0.88,1
9831,146,44.04,15.99,11.62,0.95,16.64,12.0,1.38,0.73,0.94,1
3452,228,59.94,21.37,13.58,0.8,22.56,14.55,1.57,0.64,0.9,1
2934,184,53.598,21.199,11.051,0.805,21.633,12.021,1.918,0.521,0.889,1
2757,165,49.698,18.017,11.66,0.839,19.209,12.6,1.545,0.647,0.907,1
2852,173,59.841,20.492,10.749,0.607,22.847,12.385,1.906,0.525,0.788,1
5520,124,42.87,12.81,12.32,0.85,14.42,13.0,1.04,0.96,0.88,1
1886,131,44.527,17.004,9.809,0.83,17.493,10.733,1.733,0.577,0.888,1
6940,238,66.43,24.15,12.55,0.68,25.5,14.42,1.93,0.52,0.83,1
2825,217,67.355,27.006,10.231,0.601,27.313,12.04,2.64,0.379,0.824,1
7293,210,57.94,21.61,12.37,0.79,22.36,13.03,1.75,0.57,0.91,1
7742,200,55.94,21.46,11.87,0.8,22.47,12.97,1.81,0.55,0.9,1
2039,146,44.284,16.657,11.16,0.936,17.493,12.021,1.493,0.67,0.933,1
1216,100,37.456,13.47,9.453,0.896,14.318,10.119,1.425,0.702,0.901,1
7680,239,63.36,22.8,13.35,0.75,23.26,14.42,1.71,0.59,0.89,1
8049,225,64.67,22.11,12.96,0.68,24.21,13.87,1.71,0.59,0.86,1
3247,234,64.77,22.934,12.991,0.701,24.597,15.331,1.765,0.566,0.828,1
1533,159,52.527,19.453,10.407,0.724,20.248,12.021,1.869,0.535,0.85,1
7740,127,42.04,14.26,11.34,0.9,16.12,12.0,1.26,0.8,0.92,1
8120,186,53.94,21.35,11.09,0.8,22.63,11.95,1.92,0.52,0.91,1
