ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,germination
3311,171,49.113,18.554,11.734,0.891,19.416,12.6,1.581,0
907,178,50.042,18.181,12.466,0.893,18.788,12.965,1.459,0
9495,153,46.63,17.19,11.33,0.88,18.36,12.0,1.52,0
5619,199,56.77,19.21,13.19,0.78,20.0,15.93,1.46,0
9690,116,46.87,14.83,9.96,0.66,16.28,11.0,1.49,0
9070,205,55.11,21.14,12.35,0.85,21.54,13.48,1.71,0
472,186,50.042,18.6,12.732,0.933,18.682,12.0,1.461,0
9725,218,60.18,23.21,11.96,0.76,24.21,12.91,1.94,0
1316,120,41.456,15.908,9.605,0.877,16.643,10.607,1.656,0
5084,130,43.7,14.17,11.68,0.86,15.65,12.48,1.21,0
5408,254,68.53,27.13,11.92,0.68,27.86,13.52,2.28,0
7957,202,56.77,21.61,11.9,0.79,22.47,13.2,1.82,0
7163,204,57.11,21.46,12.1,0.79,22.47,13.13,1.77,0
4417,317,82.67,30.44,13.26,0.58,33.84,15.6,2.3,0
7408,202,55.36,20.62,12.47,0.83,21.59,12.97,1.65,0
5788,127,47.7,13.47,12.0,0.7,17.0,12.0,1.12,0
5831,190,60.53,21.89,11.05,0.65,22.56,12.94,1.98,0
2042,113,38.627,14.042,10.246,0.952,15.0,11.0,1.37,0
2532,205,63.355,20.514,12.724,0.642,21.19,13.703,1.612,0
5487,166,49.46,16.3,12.96,0.85,17.8,14.0,1.26,0
2967,193,63.113,21.853,11.245,0.609,23.854,13.416,1.943,0
1918,136,45.113,17.042,10.161,0.84,17.205,10.932,1.677,0
3710,171,51.11,19.09,11.4,0.82,20.0,12.73,1.67,0
6723,188,56.43,22.51,10.64,0.74,23.02,11.31,2.12,0
5501,165,48.53,17.35,12.11,0.88,18.03,12.73,1.43,0
2167,287,73.497,25.782,14.173,0.668,27.857,16.306,1.819,0
146,218,61.456,22.359,12.414,0.725,23.601,13.576,1.801,0
7891,140,46.63,17.66,10.09,0.81,18.87,10.85,1.75,0
9578,195,56.28,20.44,12.15,0.77,22.2,13.59,1.68,0
8097,125,41.21,12.76,12.48,0.92,14.42,12.0,1.02,0
6491,217,63.11,23.6,11.71,0.68,25.61,14.47,2.02,0
3163,198,64.184,22.676,11.117,0.604,24.698,13.736,2.04,0
5087,176,57.36,19.24,11.65,0.67,20.88,13.0,1.65,0
8472,217,58.77,21.01,13.15,0.79,21.54,14.7,1.6,0
6197,194,67.84,22.98,10.75,0.53,24.41,14.31,2.14,0
3263,165,56.77,19.172,10.958,0.643,21.095,12.862,1.75,0
547,254,61.799,23.267,13.899,0.836,23.409,13.0,1.674,0
8978,202,57.7,21.71,11.85,0.76,22.14,12.0,1.83,0
9152,208,56.04,21.15,12.52,0.83,21.54,12.82,1.69,0
2018,139,45.456,16.553,10.692,0.845,18.385,11.0,1.548,0
3313,187,53.698,20.014,11.897,0.815,21.095,13.131,1.682,0
