ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,conidium
1029,123,42.627,16.613,9.427,0.851,16.763,9.806,1.762,0.567,0.911,1
1030,106,40.042,15.582,8.662,0.831,15.811,9.216,1.799,0.556,0.902,1
1031,116,41.456,15.822,9.335,0.848,16.155,10.213,1.695,0.59,0.896,1
1032,72,31.213,9.954,9.21,0.929,10.817,9.806,1.081,0.925,0.889,1
1033,107,39.213,15.293,8.909,0.874,15.811,9.0,1.717,0.583,0.926,1
1034,111,41.113,16.473,8.58,0.825,16.643,9.192,1.92,0.521,0.899,1
1035,70,29.799,10.216,8.724,0.991,11.18,9.0,1.171,0.854,0.921,1
1036,90,35.799,13.787,8.312,0.882,14.318,9.0,1.659,0.603,0.918,1
1037,114,40.87,16.19,8.965,0.858,16.553,9.391,1.806,0.554,0.919,1
1038,76,32.971,12.649,7.65,0.879,13.038,8.0,1.653,0.605,0.916,1
1039,119,43.355,17.374,8.721,0.796,17.889,9.347,1.992,0.502,0.878,1
1040,105,39.698,16.319,8.192,0.837,16.643,8.485,1.992,0.502,0.913,1
1041,106,39.456,15.11,8.932,0.856,15.264,9.701,1.692,0.591,0.898,1
1042,92,35.456,12.547,9.336,0.92,13.601,10.0,1.344,0.744,0.893,1
