,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,class
1077,120,42.77,16.461,9.282,0.824,16.643,9.8,1.773,0.564,0.886,0
9187,206,80.326,31.208,8.404,0.401,34.176,11.535,3.713,0.269,0.732,1
9440,136,43.698,16.36,10.584,0.895,17.0,11.18,1.546,0.647,0.913,0
5898,218,88.326,28.778,9.645,0.351,33.838,14.026,2.984,0.335,0.603,1
5571,173,66.326,26.599,8.281,0.494,28.018,10.607,3.212,0.311,0.778,1
405,183,69.841,22.347,10.426,0.471,25.71,13.713,2.143,0.467,0.702,1
3372,203,97.64,38.91,6.643,0.268,42.544,10.286,5.857,0.171,0.615,1
4407,201,77.74,29.093,8.797,0.418,32.65,12.566,3.307,0.302,0.684,1
7177,242,116.225,32.542,9.468,0.225,40.447,18.241,3.437,0.291,0.47,1
5818,179,78.912,27.146,8.396,0.361,32.28,12.445,3.233,0.309,0.634,1
10392,71,31.213,12.3,7.35,0.916,12.806,7.778,1.673,0.598,0.916,0
4729,204,82.569,34.233,7.588,0.376,35.847,10.733,4.512,0.222,0.703,1
1941,91,34.627,12.083,9.589,0.954,12.649,10.0,1.26,0.794,0.919,0
10416,90,37.113,13.957,8.21,0.821,14.318,9.0,1.7,0.588,0.878,0
1557,144,45.941,15.953,11.493,0.857,17.493,12.021,1.388,0.72,0.897,0
9298,148,71.355,28.16,6.692,0.365,28.862,9.676,4.208,0.238,0.655,1
411,52,27.556,11.397,5.809,0.861,11.705,6.0,1.962,0.51,0.912,0
579,118,41.456,16.523,9.093,0.863,17.263,9.0,1.817,0.55,0.922,0
7525,95,35.456,12.797,9.452,0.95,13.601,9.899,1.354,0.739,0.913,0
478,109,39.113,15.567,8.915,0.895,15.811,9.192,1.746,0.573,0.912,0
8172,92,34.627,13.027,8.992,0.964,13.601,9.0,1.449,0.69,0.925,0
4710,175,73.598,30.017,7.423,0.406,30.083,10.394,4.044,0.247,0.706,1
793,217,69.113,28.859,9.574,0.571,28.16,10.916,3.014,0.332,0.851,-1
2223,87,34.284,12.612,8.783,0.93,13.038,9.192,1.436,0.696,0.897,0
7132,267,105.154,28.971,11.734,0.303,34.015,19.615,2.469,0.405,0.521,1
10535,87,36.385,14.276,7.759,0.826,15.232,8.0,1.84,0.544,0.921,0
9938,87,36.627,13.432,8.247,0.815,14.56,8.944,1.629,0.614,0.888,0
1617,213,82.569,24.679,10.989,0.393,30.083,15.7,2.246,0.445,0.623,1
3841,226,104.569,36.35,7.916,0.26,41.785,11.828,4.592,0.218,0.533,1
401,232,90.569,31.733,9.309,0.355,34.176,13.282,3.409,0.293,0.652,1
4134,148,65.012,25.382,7.424,0.44,28.178,10.07,3.419,0.292,0.734,1
8424,87,34.627,13.208,8.387,0.912,13.928,9.0,1.575,0.635,0.926,0
1924,204,73.012,24.732,10.502,0.481,28.231,14.671,2.355,0.425,0.703,1
438,97,37.456,14.83,8.328,0.869,15.232,8.944,1.781,0.562,0.907,0
7754,122,41.799,15.826,9.815,0.877,16.155,10.0,1.612,0.62,0.935,0
109,204,92.225,36.111,7.193,0.301,39.825,10.607,5.02,0.199,0.596,1
5553,211,93.154,35.603,7.546,0.306,38.079,11.163,4.718,0.212,0.624,1
9786,485,214.451,54.254,11.382,0.133,88.6,19.081,4.767,0.21,0.396,-1
1136,86,32.627,11.131,9.837,1.0,12.083,10.0,1.132,0.884,0.925,0
2852,114,40.042,15.335,9.465,0.893,15.811,10.0,1.62,0.617,0.916,0
3530,220,101.539,38.059,7.36,0.268,45.343,10.879,5.171,0.193,0.587,1
5587,196,77.497,30.628,8.148,0.41,31.906,12.075,3.759,0.266,0.672,1
8052,122,45.113,17.755,8.749,0.753,18.028,9.391,2.029,0.493,0.881,0
3811,227,98.569,38.592,7.489,0.294,42.45,11.039,5.153,0.194,0.593,1
3815,170,80.426,31.314,6.912,0.33,34.482,10.436,4.53,0.221,0.68,1
7824,130,42.284,16.07,10.3,0.914,16.401,10.607,1.56,0.641,0.929,0
1118,196,64.042,28.848,8.651,0.601,27.893,9.303,3.335,0.3,0.899,-1
10365,52,38.87,8.271,8.005,0.432,12.207,9.858,1.033,0.968,0.627,-1
6929,131,47.456,16.368,10.19,0.731,18.682,11.0,1.606,0.623,0.868,0
6249,235,101.196,43.818,6.829,0.288,45.486,10.746,6.417,0.156,0.657,1
6210,182,80.083,32.588,7.111,0.357,35.355,11.06,4.583,0.218,0.684,1
371,125,46.284,17.249,9.227,0.733,18.028,10.752,1.869,0.535,0.865,0
6615,104,39.456,14.357,9.223,0.839,15.297,10.0,1.557,0.642,0.893,0
9344,200,78.326,27.913,9.123,0.41,29.53,11.297,3.06,0.327,0.731,1
234,159,56.77,19.798,10.226,0.62,22.472,12.394,1.936,0.517,0.787,1
9735,280,101.983,39.175,9.1,0.338,39.812,13.049,4.305,0.232,0.608,1
5091,128,55.355,17.947,9.081,0.525,20.881,11.926,1.976,0.506,0.729,1
5001,193,89.497,31.535,7.792,0.303,33.838,11.349,4.047,0.247,0.554,1
9238,93,34.627,11.638,10.174,0.975,12.53,10.607,1.144,0.874,0.925,0
8022,116,42.385,17.052,8.662,0.811,16.763,9.0,1.969,0.508,0.917,0
4228,170,64.669,23.526,9.201,0.511,26.077,11.314,2.557,0.391,0.731,1
8239,115,42.527,17.179,8.523,0.799,17.205,9.153,2.015,0.496,0.895,0
8137,214,66.669,21.034,12.954,0.605,22.361,16.282,1.624,0.616,0.777,-1
2599,156,63.598,22.231,8.935,0.485,24.331,11.0,2.488,0.402,0.732,1
7299,143,47.698,17.688,10.294,0.79,19.105,11.0,1.718,0.582,0.899,0
3731,220,88.326,34.609,8.094,0.354,36.056,11.039,4.276,0.234,0.651,1
661,102,38.284,14.936,8.695,0.875,15.264,9.192,1.718,0.582,0.903,0
1721,218,62.77,24.762,11.21,0.695,24.739,13.309,2.209,0.453,0.845,-1
5081,223,94.225,34.619,8.202,0.316,37.59,11.733,4.221,0.237,0.614,1
7449,182,87.74,32.044,7.232,0.297,38.013,11.221,4.431,0.226,0.607,1
1645,100,37.456,13.798,9.227,0.896,14.422,9.899,1.495,0.669,0.913,0
5770,112,39.213,14.018,10.173,0.915,15.62,11.094,1.378,0.726,0.922,0
8375,99,37.213,13.694,9.205,0.898,14.422,9.944,1.488,0.672,0.917,0
6839,270,107.882,36.655,9.379,0.292,43.417,16.297,3.908,0.256,0.558,1
1526,238,61.012,23.013,13.168,0.803,24.166,14.581,1.748,0.572,0.905,-1
5380,155,61.841,24.668,8.0,0.509,26.42,10.955,3.083,0.324,0.743,1
7172,214,99.154,37.327,7.3,0.274,42.154,11.076,5.113,0.196,0.595,1
7016,184,73.74,27.497,8.52,0.425,31.765,11.864,3.227,0.31,0.692,1
7533,112,39.213,15.001,9.506,0.915,15.652,10.0,1.578,0.634,0.941,0
5677,176,77.255,28.717,7.804,0.371,32.016,11.326,3.68,0.272,0.676,1
10432,97,36.042,12.83,9.626,0.938,13.601,10.0,1.333,0.75,0.907,0
1729,143,47.113,18.5,9.842,0.81,18.682,10.733,1.88,0.532,0.894,0
4867,174,61.012,24.958,8.877,0.587,25.0,10.891,2.812,0.356,0.796,1
8024,101,38.527,15.005,8.57,0.855,15.264,9.192,1.751,0.571,0.882,0
9623,237,110.853,40.183,7.51,0.242,48.826,11.519,5.351,0.187,0.548,1
3489,227,87.983,34.048,8.489,0.369,35.511,11.779,4.011,0.249,0.684,1
5618,124,41.456,15.156,10.417,0.907,15.811,11.0,1.455,0.687,0.915,0
1901,187,66.669,21.398,11.127,0.529,24.739,13.721,1.923,0.52,0.741,1
1640,113,39.799,15.026,9.575,0.896,15.297,9.0,1.569,0.637,0.942,0
3820,183,72.669,30.492,7.642,0.435,30.887,9.839,3.99,0.251,0.738,1
7726,125,41.456,13.608,11.695,0.914,14.422,12.0,1.164,0.859,0.926,0
10158,172,80.083,24.438,8.961,0.337,30.871,13.749,2.727,0.367,0.595,1
7735,113,38.87,14.635,9.831,0.94,15.264,9.899,1.489,0.672,0.938,0
3755,232,99.154,34.23,8.629,0.297,39.623,13.74,3.967,0.252,0.563,1
2612,237,97.983,31.993,9.432,0.31,37.216,14.8,3.392,0.295,0.562,1
2897,222,91.983,34.432,8.209,0.33,37.643,13.136,4.194,0.238,0.592,1
5077,162,65.255,24.518,8.413,0.478,27.731,11.427,2.914,0.343,0.75,1
9,233,106.569,32.093,9.244,0.258,38.275,16.671,3.472,0.288,0.533,1
5179,247,105.882,34.721,9.058,0.277,38.328,15.419,3.833,0.261,0.494,-1
933,117,40.87,15.079,9.879,0.88,15.62,10.607,1.526,0.655,0.893,0
6736,231,103.397,35.28,8.337,0.272,38.079,11.992,4.232,0.236,0.58,1
8348,155,48.042,17.704,11.147,0.844,18.788,12.0,1.588,0.63,0.925,0
7990,104,37.456,14.192,9.331,0.932,14.866,9.944,1.521,0.657,0.912,0
3175,189,87.397,34.246,7.027,0.311,35.341,10.293,4.873,0.205,0.571,1
2440,190,79.841,30.046,8.051,0.375,32.016,12.382,3.732,0.268,0.628,1
4375,191,73.74,29.368,8.281,0.441,31.385,11.901,3.547,0.282,0.707,1
3011,198,76.669,29.629,8.509,0.423,32.311,10.882,3.482,0.287,0.702,1
3124,112,45.456,16.133,8.839,0.681,18.974,10.0,1.825,0.548,0.865,0
9272,103,38.627,15.213,8.62,0.867,15.652,9.391,1.765,0.567,0.92,0
5185,426,168.693,29.518,18.375,0.188,53.852,34.779,1.606,0.622,0.373,-1
2642,101,37.456,13.744,9.357,0.905,14.318,10.0,1.469,0.681,0.898,0
689,91,35.799,14.187,8.167,0.892,14.56,8.0,1.737,0.576,0.933,0
7755,130,42.87,16.137,10.257,0.889,17.0,11.18,1.573,0.636,0.925,0
5423,122,40.042,14.172,10.96,0.956,14.765,11.0,1.293,0.773,0.928,0
7660,249,127.196,50.665,6.258,0.193,56.365,11.176,8.097,0.124,0.513,1
1558,138,43.456,15.831,11.099,0.918,16.492,11.0,1.426,0.701,0.923,0
8710,183,61.841,27.762,8.393,0.601,27.203,9.37,3.308,0.302,0.874,-1
326,135,47.113,17.96,9.57,0.764,18.682,10.286,1.877,0.533,0.879,0
842,86,34.627,13.217,8.285,0.901,13.928,9.0,1.595,0.627,0.896,0
6403,210,85.74,33.353,8.017,0.359,36.715,11.0,4.16,0.24,0.631,1
4501,200,77.012,29.733,8.565,0.424,32.757,11.435,3.472,0.288,0.75,1
2716,108,37.799,14.46,9.51,0.95,14.866,9.0,1.52,0.658,0.956,0
3967,203,93.054,33.4,7.739,0.295,39.825,12.865,4.316,0.232,0.56,1
10091,93,36.042,12.751,9.286,0.9,13.416,10.0,1.373,0.728,0.899,0
3662,432,197.622,38.982,14.11,0.139,66.91,26.905,2.763,0.362,0.352,-1
5860,205,93.74,36.045,7.241,0.293,39.294,11.538,4.978,0.201,0.617,1
5403,110,38.385,13.619,10.284,0.938,14.318,10.0,1.324,0.755,0.94,0
392,169,81.841,30.836,6.978,0.317,33.242,10.0,4.419,0.226,0.654,1
9230,124,42.284,16.599,9.512,0.872,17.205,9.899,1.745,0.573,0.925,0
3469,210,86.326,27.104,9.865,0.354,31.401,14.018,2.747,0.364,0.587,1
7367,114,45.456,16.925,8.576,0.693,18.248,9.7,1.973,0.507,0.854,0
6227,242,102.953,30.666,10.048,0.287,36.62,14.837,3.052,0.328,0.523,1
8339,209,105.983,28.838,9.228,0.234,36.878,15.835,3.125,0.32,0.429,1
9450,81,33.213,10.921,9.444,0.923,12.083,10.0,1.156,0.865,0.9,0
3141,141,49.941,18.976,9.461,0.71,20.248,10.381,2.006,0.499,0.876,0
1786,113,39.799,15.64,9.199,0.896,15.811,9.0,1.7,0.588,0.934,0
7931,98,36.042,13.055,9.558,0.948,13.928,10.0,1.366,0.732,0.916,0
2184,101,35.213,12.641,10.173,1.0,13.416,10.0,1.243,0.805,0.948,0
6339,103,37.456,13.77,9.524,0.923,14.56,10.0,1.446,0.692,0.907,0
6015,244,100.225,35.965,8.638,0.305,38.91,13.079,4.164,0.24,0.598,1
747,139,56.426,20.057,8.824,0.549,22.361,10.8,2.273,0.44,0.77,-1
934,66,36.87,13.776,6.1,0.61,14.56,7.399,2.258,0.443,0.79,1
4840,166,59.012,24.508,8.624,0.599,25.554,10.686,2.842,0.352,0.818,1
1296,150,61.355,25.056,7.622,0.501,26.249,9.864,3.287,0.304,0.771,1
4254,151,67.841,25.483,7.545,0.412,29.547,10.61,3.378,0.296,0.716,1
6213,234,105.782,41.494,7.18,0.263,46.228,11.833,5.779,0.173,0.595,1
10268,79,33.213,12.633,7.962,0.9,13.601,8.854,1.587,0.63,0.898,0
5795,127,47.941,18.077,8.945,0.694,19.849,9.899,2.021,0.495,0.867,0
10453,80,32.385,12.182,8.362,0.959,12.649,8.0,1.457,0.686,0.941,0
9297,221,92.569,31.514,8.929,0.324,34.205,13.21,3.529,0.283,0.565,1
1314,168,65.012,24.508,8.728,0.499,25.962,11.316,2.808,0.356,0.732,1
3872,161,75.355,30.458,6.73,0.356,32.757,10.0,4.525,0.221,0.709,1
2488,194,92.184,36.427,6.781,0.287,40.112,10.0,5.372,0.186,0.637,1
1341,193,63.841,21.625,11.363,0.595,23.259,13.864,1.903,0.525,0.786,1
8922,181,79.497,31.009,7.432,0.36,34.886,11.084,4.172,0.24,0.657,1
8151,80,32.385,10.964,9.29,0.959,12.083,9.0,1.18,0.847,0.941,0
6832,174,76.426,28.853,7.678,0.374,32.894,11.014,3.758,0.266,0.681,1
648,192,58.184,23.035,10.613,0.713,23.854,11.949,2.171,0.461,0.871,-1
4777,64,34.87,10.227,7.968,0.661,12.649,9.0,1.284,0.779,0.821,-1
5265,105,37.213,14.109,9.476,0.953,14.765,10.0,1.489,0.672,0.933,0
3518,223,73.841,22.857,12.422,0.514,25.0,15.972,1.84,0.543,0.776,-1
3882,192,81.983,29.985,8.153,0.359,34.409,12.455,3.678,0.272,0.612,1
4499,331,93.983,42.113,10.008,0.471,39.925,11.25,4.208,0.238,0.842,-1
2173,96,35.799,13.578,9.002,0.941,14.318,9.0,1.508,0.663,0.946,0
5997,235,97.054,35.396,8.453,0.314,40.497,11.741,4.187,0.239,0.578,1
5585,204,81.598,29.771,8.725,0.385,33.838,12.523,3.412,0.293,0.644,1
1791,62,28.971,10.726,7.36,0.928,11.18,7.906,1.457,0.686,0.912,0
9010,110,40.042,14.771,9.482,0.862,15.652,10.119,1.558,0.642,0.905,0
6758,143,54.77,18.148,10.033,0.599,20.809,12.021,1.809,0.553,0.788,0
5412,99,36.042,12.491,10.092,0.958,13.342,10.0,1.238,0.808,0.925,0
951,64,29.799,10.611,7.679,0.906,11.402,8.485,1.382,0.724,0.895,0
1556,234,67.012,27.169,10.966,0.655,26.926,12.492,2.478,0.404,0.867,-1
6531,106,39.213,14.517,9.297,0.866,15.264,9.839,1.562,0.64,0.91,0
8207,225,104.468,41.796,6.854,0.259,45.695,11.615,6.098,0.164,0.593,1
2594,162,73.255,24.702,8.35,0.379,29.275,11.344,2.958,0.338,0.671,1
1947,127,41.456,15.801,10.233,0.929,16.553,11.0,1.544,0.648,0.941,0
2016,121,40.627,15.367,10.025,0.921,15.811,10.0,1.533,0.652,0.934,0
8357,186,96.569,37.144,6.376,0.251,41.34,10.404,5.826,0.172,0.579,1
9031,119,42.042,16.463,9.203,0.846,17.088,9.803,1.789,0.559,0.919,0
8002,109,39.799,15.349,9.042,0.865,15.524,9.0,1.698,0.589,0.924,0
5704,103,38.042,13.806,9.499,0.894,14.422,10.539,1.453,0.688,0.904,0
2647,115,40.627,14.941,9.8,0.876,15.652,10.394,1.525,0.656,0.906,0
8331,92,35.799,13.806,8.484,0.902,14.318,9.0,1.627,0.615,0.929,0
3678,235,81.74,32.215,9.288,0.442,32.985,12.056,3.468,0.288,0.699,1
7511,106,37.799,13.772,9.8,0.932,14.318,10.0,1.405,0.712,0.926,0
9522,164,49.355,17.654,11.828,0.846,18.358,12.338,1.492,0.67,0.904,0
5325,206,80.083,31.19,8.409,0.404,31.048,11.813,3.709,0.27,0.654,1
325,72,30.385,10.037,9.134,0.98,10.817,9.0,1.099,0.91,0.923,0
5493,160,69.841,27.252,7.475,0.412,29.411,10.369,3.646,0.274,0.672,1
1485,142,45.113,16.301,11.091,0.877,17.029,11.649,1.47,0.68,0.899,0
8568,244,92.811,31.088,9.993,0.356,37.483,14.568,3.111,0.321,0.6,-1
1684,138,42.284,14.698,11.955,0.97,15.811,12.0,1.229,0.813,0.942,0
1921,165,67.012,22.792,9.217,0.462,27.295,11.95,2.473,0.404,0.721,1
4316,227,93.841,36.547,7.908,0.324,40.025,11.066,4.621,0.216,0.674,1
2482,264,122.468,46.723,7.194,0.221,53.852,12.855,6.495,0.154,0.52,1
4595,195,80.426,31.038,7.999,0.379,34.205,11.662,3.88,0.258,0.661,1
5745,128,42.284,16.107,10.118,0.9,16.643,10.607,1.592,0.628,0.921,0
7129,219,88.569,30.752,9.067,0.351,34.928,13.581,3.392,0.295,0.599,1
2550,295,125.681,34.225,10.975,0.235,45.804,18.82,3.119,0.321,0.458,-1
4926,204,75.355,29.052,8.94,0.451,30.414,12.0,3.25,0.308,0.745,1
294,196,76.083,24.213,10.307,0.425,28.792,13.758,2.349,0.426,0.674,1
2266,80,33.213,12.222,8.334,0.911,13.0,9.0,1.467,0.682,0.909,0
1669,123,40.87,15.386,10.179,0.925,16.125,10.607,1.512,0.662,0.932,0
6140,158,74.669,29.197,6.89,0.356,31.906,9.839,4.237,0.236,0.699,1
810,97,38.042,15.079,8.19,0.842,15.62,9.153,1.841,0.543,0.902,0
633,122,43.941,17.478,8.887,0.794,17.493,9.43,1.967,0.508,0.878,0
2978,174,83.841,31.931,6.938,0.311,34.059,9.506,4.602,0.217,0.618,1
2244,87,33.799,12.03,9.208,0.957,12.649,9.0,1.306,0.765,0.935,0
3436,211,88.468,34.401,7.809,0.339,37.443,12.239,4.405,0.227,0.627,1
7592,103,38.042,13.112,10.002,0.894,14.318,10.733,1.311,0.763,0.9,0
4950,111,42.87,15.483,9.128,0.759,16.763,10.752,1.696,0.59,0.851,0
2248,91,35.213,12.908,8.976,0.922,13.601,9.0,1.438,0.695,0.919,0
3657,239,110.811,37.384,8.14,0.245,41.437,13.794,4.593,0.218,0.506,1
5507,108,38.042,14.134,9.729,0.938,14.765,10.119,1.453,0.688,0.919,0
2493,179,93.255,30.975,7.358,0.259,38.484,11.635,4.21,0.238,0.475,1
10064,63,43.456,14.109,5.685,0.419,17.0,7.892,2.482,0.403,0.6,-1
9704,165,53.598,22.112,9.501,0.722,22.472,10.151,2.327,0.43,0.885,0
9830,235,97.497,38.702,7.731,0.311,41.785,11.384,5.006,0.2,0.609,1
3463,230,98.326,21.853,13.401,0.299,29.411,20.99,1.631,0.613,0.51,1
4623,184,69.255,27.506,8.517,0.482,28.018,11.033,3.23,0.31,0.759,1
6957,161,65.841,26.415,7.761,0.467,27.295,10.499,3.404,0.294,0.714,1
7116,243,102.225,27.139,11.4,0.292,33.734,15.526,2.381,0.42,0.574,1
6189,179,79.598,32.601,6.991,0.355,34.176,10.651,4.663,0.214,0.658,1
2977,143,73.497,26.706,6.818,0.333,29.411,9.874,3.917,0.255,0.593,1
9325,209,83.255,30.823,8.633,0.379,32.28,12.128,3.57,0.28,0.641,1
10025,331,110.811,40.483,10.41,0.339,46.573,13.914,3.889,0.257,0.669,-1
2220,83,34.042,12.558,8.415,0.9,13.342,9.0,1.492,0.67,0.902,0
5601,103,37.456,13.707,9.568,0.923,14.422,9.899,1.433,0.698,0.916,0
4105,99,36.87,13.78,9.148,0.915,14.422,9.839,1.506,0.664,0.896,0
735,184,80.912,30.885,7.585,0.353,34.886,11.107,4.072,0.246,0.606,1
5651,172,71.841,27.673,7.914,0.419,29.732,11.699,3.497,0.286,0.671,1
4886,192,77.154,28.445,8.594,0.405,32.202,11.885,3.31,0.302,0.687,1
1122,53,26.142,9.144,7.38,0.975,9.849,7.0,1.239,0.807,0.93,0
8787,151,44.284,14.753,13.032,0.968,15.524,13.0,1.132,0.883,0.929,0
2720,181,84.569,29.446,7.826,0.318,36.249,12.245,3.762,0.266,0.565,1
7672,186,84.326,32.398,7.31,0.329,34.015,11.178,4.432,0.226,0.608,1
10139,212,114.51,37.46,7.206,0.203,44.418,13.298,5.199,0.192,0.413,1
556,90,37.213,15.049,7.615,0.817,15.652,8.497,1.976,0.506,0.909,0
9000,82,33.213,11.493,9.084,0.934,12.207,9.899,1.265,0.79,0.906,0
510,272,98.569,37.309,9.283,0.352,38.013,14.719,4.019,0.249,0.593,-1
5274,136,43.698,15.805,10.956,0.895,16.553,11.628,1.443,0.693,0.907,0
9996,114,46.042,16.93,8.574,0.676,18.974,9.839,1.975,0.506,0.864,0
1257,160,57.355,21.326,9.553,0.611,23.854,10.77,2.232,0.448,0.814,1
10440,94,35.456,12.902,9.277,0.94,13.928,9.899,1.391,0.719,0.922,0
5368,159,70.083,25.446,7.956,0.407,27.313,11.154,3.199,0.313,0.641,1
575,145,52.527,19.532,9.452,0.66,21.633,11.385,2.066,0.484,0.824,1
247,174,82.426,34.462,6.429,0.322,36.77,9.76,5.361,0.187,0.677,1
2422,130,61.841,23.452,7.058,0.427,25.298,10.733,3.323,0.301,0.686,-1
4932,259,112.225,44.13,7.473,0.258,48.466,12.017,5.906,0.169,0.566,1
9675,308,119.882,48.866,8.025,0.269,52.0,12.037,6.089,0.164,0.662,1
5043,149,46.284,15.426,12.299,0.874,16.643,13.0,1.254,0.797,0.909,0
3160,150,50.426,19.162,9.967,0.741,20.125,10.607,1.923,0.52,0.867,0
6790,224,105.296,38.442,7.419,0.254,40.497,12.45,5.182,0.193,0.485,1
7800,112,39.456,14.558,9.795,0.904,15.232,10.286,1.486,0.673,0.918,0
5716,214,59.012,23.428,11.63,0.772,23.324,13.435,2.014,0.496,0.886,-1
5099,148,62.669,25.117,7.503,0.474,26.907,9.899,3.348,0.299,0.715,1
2074,77,32.627,12.69,7.726,0.909,13.038,8.489,1.642,0.609,0.901,0
4795,174,70.669,25.265,8.769,0.438,27.203,11.314,2.881,0.347,0.673,1
3100,196,88.569,32.113,7.771,0.314,38.079,12.581,4.132,0.242,0.58,1
1449,100,37.213,13.619,9.349,0.907,14.318,10.0,1.457,0.687,0.917,0
3514,169,67.012,27.087,7.944,0.473,29.155,11.264,3.41,0.293,0.76,1
5558,202,77.841,30.795,8.352,0.419,30.806,12.304,3.687,0.271,0.663,1
2126,95,36.042,12.953,9.338,0.919,13.892,9.899,1.387,0.721,0.909,0
4150,297,111.983,35.618,10.617,0.298,39.56,16.505,3.355,0.298,0.603,-1
7115,164,62.77,25.538,8.176,0.523,27.295,10.733,3.123,0.32,0.774,1
8979,163,49.113,16.994,12.213,0.849,18.358,12.903,1.392,0.719,0.908,0
1217,143,62.426,25.014,7.279,0.461,27.019,9.899,3.437,0.291,0.715,1
5982,232,91.74,31.861,9.271,0.346,37.947,13.301,3.437,0.291,0.633,1
1537,102,37.456,14.08,9.224,0.914,14.866,9.899,1.526,0.655,0.911,0
3448,228,89.983,33.987,8.542,0.354,35.735,12.293,3.979,0.251,0.64,1
9801,201,75.983,24.128,10.607,0.437,25.495,14.067,2.275,0.44,0.67,1
5460,220,89.74,32.695,8.567,0.343,35.903,11.827,3.816,0.262,0.636,1
5730,87,34.042,10.788,10.268,0.943,11.705,10.607,1.051,0.952,0.916,0
903,170,59.456,25.796,8.391,0.604,25.298,8.955,3.074,0.325,0.888,-1
5054,142,45.113,16.121,11.215,0.877,17.029,11.314,1.437,0.696,0.913,0
7405,82,55.698,22.291,4.684,0.332,23.345,6.924,4.759,0.21,0.621,-1
4458,135,52.77,16.505,10.414,0.609,20.0,11.926,1.585,0.631,0.808,0
3157,147,48.284,17.932,10.438,0.792,19.209,11.18,1.718,0.582,0.916,0
2205,94,36.385,13.065,9.161,0.892,13.892,9.487,1.426,0.701,0.917,0
10006,114,38.627,13.97,10.39,0.96,14.56,10.0,1.345,0.744,0.942,0
5669,193,80.083,31.472,7.808,0.378,33.121,11.392,4.031,0.248,0.648,1
4690,230,101.154,40.334,7.26,0.282,42.942,10.62,5.555,0.18,0.593,1
4476,172,69.154,28.294,7.74,0.452,29.833,10.607,3.655,0.274,0.724,1
10523,66,29.213,9.733,8.634,0.972,11.18,9.0,1.127,0.887,0.904,0
52,251,107.882,39.255,8.141,0.271,43.829,13.294,4.822,0.207,0.552,1
5363,133,52.527,19.049,8.89,0.606,21.19,11.0,2.143,0.467,0.789,1
1952,105,38.627,13.702,9.757,0.884,14.765,10.286,1.404,0.712,0.905,0
343,204,68.184,25.653,10.125,0.551,26.627,12.27,2.534,0.395,0.797,1
893,112,42.627,17.514,8.142,0.775,17.72,8.549,2.151,0.465,0.9,0
7103,186,82.083,22.052,10.739,0.347,26.926,17.637,2.053,0.487,0.566,1
8911,115,40.042,14.656,9.99,0.901,15.297,10.0,1.467,0.682,0.916,0
3543,449,192.693,27.278,20.957,0.152,49.769,38.331,1.302,0.768,0.362,-1
7310,168,72.426,25.844,8.277,0.402,30.083,11.239,3.122,0.32,0.683,1
6965,223,85.74,31.676,8.964,0.381,33.956,11.658,3.534,0.283,0.685,1
6720,397,145.338,35.718,14.152,0.236,48.021,25.685,2.524,0.396,0.486,-1
2841,244,109.539,39.568,7.852,0.256,46.011,12.728,5.039,0.198,0.524,1
6021,181,77.74,30.291,7.608,0.376,33.015,11.333,3.981,0.251,0.644,1
1458,124,42.042,16.297,9.688,0.882,16.763,10.0,1.682,0.594,0.919,0
8632,123,40.284,13.6,11.515,0.952,14.56,12.0,1.181,0.847,0.911,0
8070,99,37.456,14.531,8.674,0.887,15.264,9.391,1.675,0.597,0.904,0
7786,189,86.326,34.118,7.053,0.319,36.674,10.045,4.837,0.207,0.611,1
4646,265,122.711,50.056,6.741,0.221,53.852,11.142,7.426,0.135,0.582,1
5184,159,63.012,24.199,8.366,0.503,25.298,10.636,2.893,0.346,0.721,1
4685,111,40.87,15.655,9.028,0.835,16.643,9.899,1.734,0.577,0.91,0
2641,112,39.213,15.171,9.4,0.915,15.524,9.0,1.614,0.62,0.945,0
8178,117,42.627,17.616,8.456,0.809,18.028,9.0,2.083,0.48,0.929,0
734,144,63.113,23.101,7.937,0.454,26.683,10.188,2.911,0.344,0.758,1
2303,127,42.87,15.038,10.753,0.868,16.125,11.628,1.398,0.715,0.914,0
1030,116,41.456,15.822,9.335,0.848,16.155,10.213,1.695,0.59,0.896,0
7035,190,79.397,32.694,7.399,0.379,34.409,11.131,4.418,0.226,0.699,1
3974,215,94.083,34.471,7.941,0.305,39.217,11.642,4.341,0.23,0.57,1
8308,80,32.042,10.88,9.362,0.979,11.705,9.899,1.162,0.861,0.904,0
4609,232,94.569,31.091,9.501,0.326,34.928,14.275,3.272,0.306,0.557,1
8088,64,28.971,10.507,7.756,0.958,11.18,8.0,1.355,0.738,0.921,0
1934,146,49.698,19.151,9.707,0.743,20.224,10.667,1.973,0.507,0.866,0
5668,230,112.368,36.446,8.035,0.229,43.566,13.709,4.536,0.22,0.483,1
3496,212,99.782,40.125,6.727,0.268,42.521,9.889,5.965,0.168,0.573,1
1844,278,65.255,23.395,15.13,0.82,25.71,16.492,1.546,0.647,0.911,-1
3268,219,88.811,29.487,9.456,0.349,33.838,14.445,3.118,0.321,0.594,1
8060,110,40.87,15.901,8.808,0.828,16.643,9.881,1.805,0.554,0.884,0
766,181,76.77,31.39,7.342,0.386,32.985,10.198,4.276,0.234,0.724,1
7693,183,82.912,29.304,7.951,0.335,33.838,12.728,3.686,0.271,0.588,1
4109,130,41.456,15.387,10.757,0.951,16.155,11.0,1.43,0.699,0.932,0
5940,214,94.569,30.252,9.007,0.301,36.401,13.627,3.359,0.298,0.53,1
