ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,Round,Solidity,germination
208,207,80.184,33.566,7.852,0.405,34.132,10.0,4.275,0.234,0.767,1
209,91,35.456,12.016,9.642,0.91,13.342,10.0,1.246,0.802,0.905,0
210,205,91.983,33.347,7.827,0.304,36.401,12.333,4.26,0.235,0.566,1
211,195,71.841,20.353,12.199,0.475,24.698,14.467,1.668,0.599,0.707,1
212,88,34.627,11.272,9.94,0.922,12.369,10.0,1.134,0.882,0.907,0
213,177,74.669,29.455,7.651,0.399,31.78,10.119,3.85,0.26,0.69,1
214,218,95.255,32.317,8.589,0.302,37.216,11.907,3.763,0.266,0.625,1
215,90,35.556,13.693,8.369,0.895,13.928,8.0,1.636,0.611,0.942,0
216,181,74.569,28.318,8.138,0.409,30.463,11.399,3.48,0.287,0.658,1
217,176,63.841,24.75,9.054,0.543,25.239,10.882,2.734,0.366,0.775,1
218,225,101.397,37.04,7.734,0.275,40.447,12.473,4.789,0.209,0.565,1
219,151,66.669,27.131,7.086,0.427,29.155,9.941,3.829,0.261,0.709,1
220,109,40.284,16.298,8.515,0.844,16.643,9.192,1.914,0.522,0.912,0
221,130,42.87,16.355,10.121,0.889,17.088,10.786,1.616,0.619,0.912,0
222,142,49.113,17.836,10.137,0.74,18.788,11.461,1.759,0.568,0.858,0
223,212,86.912,36.419,7.412,0.353,37.696,10.407,4.914,0.204,0.689,1
224,109,39.213,15.023,9.238,0.891,15.811,10.2,1.626,0.615,0.924,0
225,137,46.527,17.369,10.043,0.795,18.385,10.539,1.73,0.578,0.89,0
226,144,55.941,18.753,9.777,0.578,20.616,12.102,1.918,0.521,0.766,1
227,166,69.012,21.807,9.692,0.438,25.239,13.648,2.25,0.444,0.668,1
228,169,57.698,22.384,9.613,0.638,22.847,10.644,2.329,0.429,0.845,1
229,153,53.698,21.525,9.05,0.667,21.587,10.0,2.378,0.42,0.867,1
230,167,59.255,21.512,9.884,0.598,22.361,11.706,2.176,0.459,0.775,1
231,148,51.941,18.433,10.223,0.689,19.416,11.289,1.803,0.555,0.848,1
232,493,169.723,63.677,9.858,0.215,67.742,20.292,6.46,0.155,0.502,1
233,249,115.296,36.877,8.597,0.235,46.573,13.601,4.289,0.233,0.496,1
234,202,77.497,25.62,10.039,0.423,27.803,13.828,2.552,0.392,0.647,1
235,159,56.77,19.798,10.226,0.62,22.472,12.394,1.936,0.517,0.787,1
236,175,77.497,31.521,7.069,0.366,33.287,10.539,4.459,0.224,0.71,1
237,200,79.012,30.113,8.456,0.403,31.78,11.748,3.561,0.281,0.698,1
238,148,58.527,21.086,8.937,0.543,24.042,11.175,2.359,0.424,0.791,1
239,182,71.355,28.568,8.112,0.449,29.614,10.0,3.522,0.284,0.784,1
240,120,41.698,16.188,9.438,0.867,16.643,9.899,1.715,0.583,0.913,0
241,186,69.598,26.903,8.803,0.483,28.231,11.88,3.056,0.327,0.728,1
242,250,115.882,40.571,7.846,0.234,47.854,12.73,5.171,0.193,0.514,1
